Student ID,Program,Start Date,Term Code,Status,Tuition,Term Expected,Total Expected,Credits,Price per Credit,Semester Price,Overall Enrollment Credits,Overall Price,Remaining Need,Link
349827797,AASRA-ONL,2024-05-06,01/2025JAN RA,W,7264.0,8398.0,40969.0,16.0,454.0,7264.0,64.0,29056.0,-11913.0,https://mediatechcloud.com/index.php?name=349827797
349827797,AASRA-ONL,2024-05-06,01/2025JAN RA,X,7264.0,8398.0,40969.0,16.0,454.0,7264.0,64.0,29056.0,-11913.0,https://mediatechcloud.com/index.php?name=349827797
371429696,AASDF_ONL,2024-05-06,01/2025JAN RA,C,No Tuition,0.0,34055.0,10.0,454.0,4540.0,64.0,29056.0,-4999.0,https://mediatechcloud.com/index.php?name=371429696
371429696,AASDF,2024-05-06,01/2025JAN RA,X,No Tuition,0.0,34055.0,10.0,550.0,5500.0,64.0,35200.0,1145.0,https://mediatechcloud.com/index.php?name=371429696
409899387,AASRA,2025-01-06,01/2025JAN RA,C,8250.0,0.0,0.0,15.0,550.0,8250.0,64.0,35200.0,35200.0,https://mediatechcloud.com/index.php?name=409899387
409899387,AASRA,2024-01-08,01/2025JAN RA,X,8250.0,0.0,22506.84,15.0,550.0,8250.0,64.0,35200.0,12693.16,https://mediatechcloud.com/index.php?name=409899387
449024881,AASRA,2021-05-03,01/2025JAN RA,X,No Tuition,0.0,31161.0,0.0,550.0,0.0,64.0,35200.0,4039.0,https://mediatechcloud.com/index.php?name=449024881
449024881,AASRA,2021-11-15,01/2025JAN RA,X,No Tuition,0.0,15900.0,0.0,550.0,0.0,64.0,35200.0,19300.0,https://mediatechcloud.com/index.php?name=449024881
514763046,AASRA-ONL,2024-05-06,01/2025JAN RA,C,8626.0,7914.0,33204.46,19.0,454.0,8626.0,64.0,29056.0,-4148.459999999999,https://mediatechcloud.com/index.php?name=514763046
514763046,AASRA,2024-05-06,01/2025JAN RA,X,8626.0,7914.0,33204.46,19.0,550.0,10450.0,64.0,35200.0,1995.5400000000009,https://mediatechcloud.com/index.php?name=514763046
615404288,AASRA,2025-01-06,01/2025JAN RA,C,8250.0,0.0,0.0,15.0,550.0,8250.0,64.0,35200.0,35200.0,https://mediatechcloud.com/index.php?name=615404288
615404288,AASRA,2024-01-08,01/2025JAN RA,X,8250.0,0.0,24863.0,15.0,550.0,8250.0,64.0,35200.0,10337.0,https://mediatechcloud.com/index.php?name=615404288
660185988,AASRA,2025-01-06,01/2025JAN RA,C,4950.0,11160.0,11160.0,9.0,550.0,4950.0,64.0,35200.0,24040.0,https://mediatechcloud.com/index.php?name=660185988
660185988,AASRA,2024-01-08,01/2025JAN RA,X,4950.0,11160.0,36850.0,9.0,550.0,4950.0,64.0,35200.0,-1650.0,https://mediatechcloud.com/index.php?name=660185988
660275785,AASRA,2025-01-06,01/2025JAN RA,C,8250.0,0.0,0.0,15.0,550.0,8250.0,64.0,35200.0,35200.0,https://mediatechcloud.com/index.php?name=660275785
660275785,AASRA,2023-08-28,01/2025JAN RA,X,8250.0,0.0,27444.33,15.0,550.0,8250.0,64.0,35200.0,7755.669999999998,https://mediatechcloud.com/index.php?name=660275785
661339392,AASRA,2021-01-11,01/2025JAN RA,X,No Tuition,0.0,52725.25,0.0,550.0,0.0,64.0,35200.0,-17525.25,https://mediatechcloud.com/index.php?name=661339392
661339392,AASRA,2021-08-30,01/2025JAN RA,X,No Tuition,0.0,37797.25,0.0,550.0,0.0,64.0,35200.0,-2597.25,https://mediatechcloud.com/index.php?name=661339392
682962311,AASRA-ONL,2024-05-06,01/2025JAN RA,C,7264.0,17786.0,67255.0,16.0,454.0,7264.0,64.0,29056.0,-38199.0,https://mediatechcloud.com/index.php?name=682962311
682962311,AASRA,2024-05-06,01/2025JAN RA,X,7264.0,17786.0,67255.0,16.0,550.0,8800.0,64.0,35200.0,-32055.0,https://mediatechcloud.com/index.php?name=682962311
683963803,AASRA,2025-01-06,01/2025JAN RA,C,8250.0,8250.0,8250.0,15.0,550.0,8250.0,64.0,35200.0,26950.0,https://mediatechcloud.com/index.php?name=683963803
683963803,AASRA,2024-01-08,01/2025JAN RA,X,8250.0,8250.0,35201.0,15.0,550.0,8250.0,64.0,35200.0,-1.0,https://mediatechcloud.com/index.php?name=683963803
746405747,AASRA,2025-01-06,01/2025JAN RA,C,8250.0,8895.0,8895.0,15.0,550.0,8250.0,64.0,35200.0,26305.0,https://mediatechcloud.com/index.php?name=746405747
746405747,AASRA,2024-01-08,01/2025JAN RA,X,8250.0,8895.0,34709.21,15.0,550.0,8250.0,64.0,35200.0,490.7900000000009,https://mediatechcloud.com/index.php?name=746405747
762799885,AASRA,2025-01-06,01/2025JAN RA,C,8250.0,8250.0,8250.0,15.0,550.0,8250.0,64.0,35200.0,26950.0,https://mediatechcloud.com/index.php?name=762799885
762799885,AASRA,2024-01-08,01/2025JAN RA,X,8250.0,8250.0,35200.0,15.0,550.0,8250.0,64.0,35200.0,0.0,https://mediatechcloud.com/index.php?name=762799885
784973875,AASRA,2025-01-06,01/2025JAN RA,C,8250.0,0.0,0.0,15.0,550.0,8250.0,64.0,35200.0,35200.0,https://mediatechcloud.com/index.php?name=784973875
784973875,AASRA,2024-01-08,01/2025JAN RA,X,8250.0,0.0,26400.0,15.0,550.0,8250.0,64.0,35200.0,8800.0,https://mediatechcloud.com/index.php?name=784973875
793599800,AASRA,2025-01-06,01/2025JAN RA,C,8250.0,0.0,0.0,15.0,550.0,8250.0,64.0,35200.0,35200.0,https://mediatechcloud.com/index.php?name=793599800
793599800,AASRA,2024-01-08,01/2025JAN RA,X,8250.0,0.0,28517.0,15.0,550.0,8250.0,64.0,35200.0,6683.0,https://mediatechcloud.com/index.php?name=793599800
855115276,AASRA,2025-01-06,01/2025JAN RA,C,8250.0,0.0,0.0,15.0,550.0,8250.0,64.0,35200.0,35200.0,https://mediatechcloud.com/index.php?name=855115276
855115276,AASRA,2024-01-08,01/2025JAN RA,X,8250.0,0.0,26654.28,15.0,550.0,8250.0,64.0,35200.0,8545.720000000001,https://mediatechcloud.com/index.php?name=855115276
897783119,AASRA,2025-01-06,01/2025JAN RA,C,8250.0,8250.0,8250.0,15.0,550.0,8250.0,64.0,35200.0,26950.0,https://mediatechcloud.com/index.php?name=897783119
897783119,AASRA,2024-01-08,01/2025JAN RA,X,8250.0,8250.0,35200.0,15.0,550.0,8250.0,64.0,35200.0,0.0,https://mediatechcloud.com/index.php?name=897783119
930845125,RA_ONL,2024-08-26,01/2025JAN RA,C,4540.0,5803.0,21284.0,10.0,454.0,4540.0,54.0,24516.0,3232.0,https://mediatechcloud.com/index.php?name=930845125
930845125,RA15,2023-05-08,01/2025JAN RA,X,4540.0,5803.0,54714.0,10.0,550.0,5500.0,54.0,29700.0,-25014.0,https://mediatechcloud.com/index.php?name=930845125
935699129,AASRA,2025-01-06,01/2025JAN RA,C,8250.0,0.0,0.0,15.0,550.0,8250.0,64.0,35200.0,35200.0,https://mediatechcloud.com/index.php?name=935699129
935699129,AASRA,2024-01-08,01/2025JAN RA,X,8250.0,0.0,40022.54,15.0,550.0,8250.0,64.0,35200.0,-4822.540000000001,https://mediatechcloud.com/index.php?name=935699129
978455030,AASDF_ONL,2024-01-08,01/2025JAN RA,C,7264.0,8894.0,38749.0,16.0,454.0,7264.0,64.0,29056.0,-9693.0,https://mediatechcloud.com/index.php?name=978455030
978455030,AASDF,2024-01-08,01/2025JAN RA,X,7264.0,8894.0,38749.0,16.0,550.0,8800.0,64.0,35200.0,-3549.0,https://mediatechcloud.com/index.php?name=978455030
982207719,RA_ONL,2024-05-06,01/2025JAN RA,C,5448.0,1605.0,28439.0,12.0,454.0,5448.0,54.0,24516.0,-3923.0,https://mediatechcloud.com/index.php?name=982207719
982207719,RA15,2024-05-06,01/2025JAN RA,X,5448.0,1605.0,28439.0,12.0,550.0,6600.0,54.0,29700.0,1261.0,https://mediatechcloud.com/index.php?name=982207719
